Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,SONB/SP/461244/2020,Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,Budowa cyfrowego repozytorium kolekcji afiszy z Biblioteki Akademii Muzycznej w Katowicach,223344,2020-05-07,SON I konkurs I,Biblioteki
2,SONB/SN/469058/2020,Diecezja Sandomierska,"Konserwacja zachowawcza,opracowanie i udostępnienie kolekcji 40 starych druków z superekslibrisami",250000,2020-05-07,SON I konkurs I,Biblioteki
3,SONB/SN/469156/2020,Diecezja Sandomierska,"Konserwacja, opracowanie i udostępnienie 70 starych druków z Kapituły Kolegiackiej w Sandomierzu",224734,2020-05-07,SON I konkurs I,Biblioteki
4,SONB/SP/461397/2020,Katolicki Uniwersytet Lubelski Jana Pawła II,Opracowanie i digitalizacja dawnych unikatowych fotografii z zasobu Biblioteki Uniwersyteckiej KUL,170280,2020-05-07,SON I konkurs I,Biblioteki
5,SONB/SP/461400/2020,Katolicki Uniwersytet Lubelski Jana Pawła II,Digitalizacja unikatowych periodyków ukraińskich i rosyjskich z Biblioteki Uniwersyteckiej KUL,218460,2020-05-07,SON I konkurs I,Biblioteki
6,SONB/SN/468945/2020,Papieski Wydział Teologiczny w Warszawie,Unikatowe zbiory muzyki polskiej w Bibliotece Collegium Bobolanum – utrzymanie i udostępnienie,198000,2020-05-07,SON I konkurs I,Biblioteki
7,SONB/SP/462133/2020,Politechnika Gdańska,"Konserwacja, digitalizacja i udostępnienie 15 wol. zbiorów historycznych z kolekcji Biblioteki PG",121000,2020-05-07,SON I konkurs I,Biblioteki
8,SONB/SP/461242/2020,Politechnika Warszawska,Upowszechnianie kolekcji fotografii dokumentującej konkursy Stowarzyszenia Architektów Polskich.,73124,2020-05-07,SON I konkurs I,Biblioteki
9,SONB/SP/465811/2020,Politechnika Warszawska,"Opracowanie, digitalizacja oraz upowszechnienie kolekcji fotografii autorstwa  Tadeusza Baruckiego.",146175,2020-05-07,SON I konkurs I,Biblioteki
10,SONB/SP/463076/2020,Politechnika Wrocławska,Digitalizacja pomiarów architektonicznych oraz wybranych czasopism Politechniki Wrocławskiej,114330,2020-05-07,SON I konkurs I,Biblioteki
11,SONB/SP/465782/2020,Politechnika Wrocławska,Opracowanie i udostępnienie pomiarów i fotografii ze zbiorów Politechniki Wrocławskiej,119354,2020-05-07,SON I konkurs I,Biblioteki
12,SONB/SN/464130/2020,Polskie Towarzystwo Ludoznawcze,Upowszechnianie zbiorów Biblioteki PTL,22698,2020-05-07,SON I konkurs I,Biblioteki
13,SONB/SP/464081/2020,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja kolekcji inkunabułów Biblioteki PTPN oraz ich elektroniczne opracowanie,205320,2020-05-07,SON I konkurs I,Biblioteki
14,SONB/SP/462522/2020,Towarzystwo Naukowe Płockie,Konserwacja archiwaliów z okresu XIV-XIX w.,36400,2020-05-07,SON I konkurs I,Biblioteki
15,SONB/SP/464943/2020,Towarzystwo Naukowe Płockie,Digitalizacja XVI-wiecznych starodruków - kontynuacja,31198.85,2020-05-07,SON I konkurs I,Biblioteki
