Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,SONP/SN/461298/2020,Akademia Leona Koźmińskiego,KOZMINSKI INSIGHT,216667,2020-05-07,SON I konkurs I,Popularyzacja
2,SONP/SP/462473/2020,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,"Promocja sportu akademickiego poprzez organizacje zawodów, szkoleń, konsultacji i zajęć dodatkowych",240000,2020-05-07,SON I konkurs I,Popularyzacja
3,SONP/SP/468473/2020,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,Organizacja i przeprowadzenie dwóch edycji Festiwalu Nauk Społecznych,80000,2020-05-07,SON I konkurs I,Popularyzacja
4,SONP/SP/466916/2020,Akademia Pomorska w Słupsku,Bałtycki Festiwal Nauki,32832,2020-05-07,SON I konkurs I,Popularyzacja
5,SONP/SP/461957/2020,Akademia TechnicznoHumanistyczna,XXI Beskidzki Festiwal Nauki i Sztuki,120000,2020-05-07,SON I konkurs I,Popularyzacja
6,SONP/SN/462913/2020,Akademia WSB,Świat oczami naukowców Akademii WSB,398310,2020-05-07,SON I konkurs I,Popularyzacja
7,SONP/SN/468593/2020,Akademia WSB,Na przekór metryce - osoby 50+ i seniorzy na srebrnym rynku pracy,225720,2020-05-07,SON I konkurs I,Popularyzacja
8,SONP/SN/469179/2020,Akademia WSB,Transgraniczna Letnia Szkoła „Cultural Management: Science and Education”,117160,2020-05-07,SON I konkurs I,Popularyzacja
9,SONP/SP/465879/2020,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,Gorzowski Festiwal Nauki z AWF,25200,2020-05-07,SON I konkurs I,Popularyzacja
10,SONP/SP/469619/2020,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,"Różne pokolenia, ta sama pasja",105000,2020-05-07,SON I konkurs I,Popularyzacja
11,SONP/SP/469681/2020,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Sport akademicki drogą na igrzyska,88000,2020-05-07,SON I konkurs I,Popularyzacja
12,SONP/SP/461408/2020,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,PRO-EBP Platforma promowania i upowszechniania praktyki zawodowej opartej na wiedzy naukowej,400000,2020-05-07,SON I konkurs I,Popularyzacja
13,SONP/SP/468581/2020,Centrum Fizyki Teoretycznej Polskiej Akademii Nauk,Fizyka w chmurze - polskie zasoby z fizyki na Khan Academy,38800,2020-05-07,SON I konkurs I,Popularyzacja
