Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,SONB/SP/514994/2021,Akademia Katolicka w Warszawie,Konserwacja zagrożonej części unikatowego zbioru muzyki polskiej w celu zachowania i udostępnienia,248914,2021-12-31,SON I konkurs II,Biblioteki
2,SONB/SP/515552/2021,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku,"Renowacja, digitalizacja oraz udostępnienie online 51 afiszy koncertowych z lat 1979-2013",24120,2021-12-31,SON I konkurs II,Biblioteki
3,SONB/SP/515276/2021,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Zdeponowanie w Repozytorium AWF Kraków najstarszych zbiorów Biblioteki AWF Kraków,20150,2021-12-31,SON I konkurs II,Biblioteki
4,SONB/SP/512831/2021,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Retrokonwersja czasopism - kontynuacja prac,63585,2021-12-31,SON I konkurs II,Biblioteki
5,SONB/SN/513122/2021,Diecezja Sandomierska,"Konserwacja, opracowanie, digitalizacja 50 starych druków z Biblioteki Kapituły w Sandomierzu",248000,2021-12-31,SON I konkurs II,Biblioteki
6,SONB/SN/513212/2021,Diecezja Sandomierska,"Zapewnienie dostępu do zbioru starych druków: dezynfekcja, dezynsekcja, udostępnienie inwentarzy",203500,2021-12-31,SON I konkurs II,Biblioteki
7,SONB/SP/512888/2021,Katolicki Uniwersytet Lubelski Jana Pawła II,Digitalizacja archiwum Kościoła katolickiego w Rosji. Zbiory ks. Bronisława Ussasa w BU KUL,139600,2021-12-31,SON I konkurs II,Biblioteki
8,SONB/SP/513464/2021,Katolicki Uniwersytet Lubelski Jana Pawła II,Digitalizacja i udostępnienie dyplomów ze zbiorów Biblioteki Uniwersyteckiej KUL,104729,2021-12-31,SON I konkurs II,Biblioteki
9,SONB/SP/513428/2021,Książnica Pomorska im. Stanisława Staszica,Dziedzictwo akademickie Pomorza Zachodniego,34000,2021-12-31,SON I konkurs II,Biblioteki
10,SONB/SP/515188/2021,Politechnika Gdańska,"Konserwacja, digitalizacja i udostępnienie 16 wol. z kolekcji zbiorów historycznych Biblioteki PG",116239.2,2021-12-31,SON I konkurs II,Biblioteki
