Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,SONP/SN/514405/2021,Akademia Katolicka w Warszawie,Duchowość dla Warszawy,200000,2021-12-31,SON I konkurs II,Popularyzacja
2,SONP/SN/514401/2021,Akademia Katolicka w Warszawie,Pro Tempore. Dialog Nauk,180000,2021-12-31,SON I konkurs II,Popularyzacja
3,SONP/SP/514376/2021,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,Promocja sportu i kultury fizycznej poprzez organizacje zawodów i zajęć sportowych - edycja 2,300000,2021-12-31,SON I konkurs II,Popularyzacja
4,SONP/SP/515607/2021,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej,Wirtualne Muzeum Marii Grzegorzewskiej,169269,2021-12-31,SON I konkurs II,Popularyzacja
5,SONP/SP/515929/2021,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej,Fotoedukacja – matematyczny konkurs fotograficzny z programem ambasadorskim.,136000,2021-12-31,SON I konkurs II,Popularyzacja
6,SONP/SP/514173/2021,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,X Międzynarodowy Festiwal Szkół Lalkarskich LALKANIELALKA / Jubileusz,285400,2021-12-31,SON I konkurs II,Popularyzacja
7,SONP/SP/514266/2021,Akademia Techniczno-Humanistyczna,Science Point ATH- Minicentrum Nauki w Bielsku-Białej,234000,2021-12-31,SON I konkurs II,Popularyzacja
8,SONP/SP/514921/2021,Akademia Techniczno-Humanistyczna,XXII Beskidzki Festiwal Nauki i Sztuki,240120,2021-12-31,SON I konkurs II,Popularyzacja
9,SONP/SP/514977/2021,Akademia Techniczno-Humanistyczna,Sportowe Rozgrywki Akademickie: Pracownicy/Absolwenci ATH - Studenci ATH,35257,2021-12-31,SON I konkurs II,Popularyzacja
10,SONP/SN/512088/2021,Akademia WSB,Bezpieczny lot. Podróż drogą lotniczą w czasie COVID-19,20000,2021-12-31,SON I konkurs II,Popularyzacja
11,SONP/SN/515329/2021,Akademia WSB,Festiwal Nauki Akademii WSB 2022,30000,2021-12-31,SON I konkurs II,Popularyzacja
12,SONP/SP/515151/2021,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,W sprawnym ciele sprawny umysł - AWF Kraków promotorem edukacji sportowej krakowskich Żaków,300000,2021-12-31,SON I konkurs II,Popularyzacja
13,SONP/SP/515509/2021,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Aktywność fizyczna dzieci i młodzieży dla zdrowych kości w życiu dorosłym,85140,2021-12-31,SON I konkurs II,Popularyzacja
14,SONP/SP/515246/2021,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Nowy wymiar sportu akademickiego,103000,2021-12-31,SON I konkurs II,Popularyzacja
15,SONP/SN/514765/2021,Akademicki Związek Sportowy,Akademicka Reprezentacja Polski - udział w Europejskich Igrzyskach Akademickich - Łódź 2022,973500,2021-12-31,SON I konkurs II,Popularyzacja
16,SONP/SP/514758/2021,Akademicki Związek Sportowy Kraków,Młodzi na wodzie,76000,2021-12-31,SON I konkurs II,Popularyzacja
17,SONP/SP/515003/2021,Białostocki Park Naukowo-Technologiczny,Micro-science - zobacz i dotknij,80454,2021-12-31,SON I konkurs II,Popularyzacja
18,SONP/SP/513438/2021,Centrum Fizyki Teoretycznej Polskiej Akademii Nauk,Popularyzacja Kwantowej Kryptografii,26950,2021-12-31,SON I konkurs II,Popularyzacja
19,SONP/SP/514811/2021,Centrum Nauki Experyment w Gdyni,"""Noc Naukowców. CYBERIADA 2021"" Popularyzacja osiągnięć naukowych i promocja nauki",89955,2021-12-31,SON I konkurs II,Popularyzacja
20,SONP/SP/514221/2021,Centrum Nowoczesności Młyn Wiedzy,Near Space,32574,2021-12-31,SON I konkurs II,Popularyzacja
21,SONP/SN/513479/2021,Dolnośląska Szkoła Wyższa we Wrocławiu,Strefa Podcastów DSW,189472,2021-12-31,SON I konkurs II,Popularyzacja
22,SONP/SN/513473/2021,Dolnośląska Szkoła Wyższa we Wrocławiu,Ze sportem przez całe życie! Promocja sportu w środowisku akademickim,95000,2021-12-31,SON I konkurs II,Popularyzacja
23,SONP/SP/514513/2021,Europejskie Regionalne Centrum Ekohydrologii Polskiej Akademii Nauk,Ekohydrologia - nowoczesne narzędzie zarządzania zasobami wodnymi w obliczu zmiany klimatu,61000,2021-12-31,SON I konkurs II,Popularyzacja
24,SONP/SN/512522/2021,Fundacja Academicon,Portal internetowy filozofuj.eu - prowadzenie i rozwój,388450,2021-12-31,SON I konkurs II,Popularyzacja
25,SONP/SN/515648/2021,Fundacja Akademickiego Związku Sportowego,Sportowiec z indeksem - promocja programu Narodowa Reprezentacja Akademicka,600000,2021-12-31,SON I konkurs II,Popularyzacja
26,SONP/SN/516126/2021,Fundacja Akademickiego Związku Sportowego,Nowoczesny model zarządzania sportową organizacją studencką,274400,2021-12-31,SON I konkurs II,Popularyzacja
27,SONP/SP/514259/2021,Fundacja Alegoria,Platforma Nauki II,496300,2021-12-31,SON I konkurs II,Popularyzacja
28,SONP/SN/513803/2021,Fundacja Aleksandra Jabłońskiego,Fizyka na wyciągnięcie ręki,111850,2021-12-31,SON I konkurs II,Popularyzacja
29,SONP/SN/514502/2021,Fundacja Centrum Kopernika,"Nauka na żywo: wszechświat, życie, umysł",540200,2021-12-31,SON I konkurs II,Popularyzacja
30,SONP/SN/513705/2021,Fundacja Centrum Kopernika,Copernicus Festival 2022: Informacja,188400,2021-12-31,SON I konkurs II,Popularyzacja
31,SONP/SN/513556/2021,Fundacja Eureka im. prof. Jerzego Stelmacha,Źródła energii przyszłości dla ochrony klimatu,39600,2021-12-31,SON I konkurs II,Popularyzacja
32,SONP/SN/513955/2021,Fundacja im. Janusza Kurtyki,Umiędzynarodowienie polskiej historiografii poprzez popularyzację najlepszych prac naukowych,700000,2021-12-31,SON I konkurs II,Popularyzacja
33,SONP/SN/515117/2021,Fundacja Innovatorium,Akcelerator,900000,2021-12-31,SON I konkurs II,Popularyzacja
34,SONP/SN/513779/2021,Fundacja Jeden z Nas,Interdyscyplinarna Akademia Bioetyki,891000,2021-12-31,SON I konkurs II,Popularyzacja
35,SONP/SN/514915/2021,Fundacja Międzynarodowej Współpracy i Rozwoju,Projekt Godność,999000,2021-12-31,SON I konkurs II,Popularyzacja
36,SONP/SN/515892/2021,Fundacja na Rzecz Integracji Środowiska Akademickiego Jeden Uniwersytet,Tydzień z Nauką,495750,2021-12-31,SON I konkurs II,Popularyzacja
37,SONP/SN/513816/2021,Fundacja na rzecz Rozwoju Szkolnictwa Dziennikarskiego,Mówi nauka,133350,2021-12-31,SON I konkurs II,Popularyzacja
38,SONP/SN/515332/2021,Fundacja Nauka. To Lubię,"Akademia Superbohaterów, czyli edukacja dzieci i młodzieży, oraz popularyzacja polskiej nauki",300000,2021-12-31,SON I konkurs II,Popularyzacja
39,SONP/SN/513071/2021,Fundacja Nicolaus Copernicus,Polacy w Kosmosie,902000,2021-12-31,SON I konkurs II,Popularyzacja
40,SONP/SN/513072/2021,Fundacja Nicolaus Copernicus,Copernicus 2022,450000,2021-12-31,SON I konkurs II,Popularyzacja
41,SONP/SN/513896/2021,Fundacja Ośrodka KARTA,Lobbyści 1918-1921. Popularyzacja wiedzy o zachodnich rzecznikach polskiej niepodległości,85300,2021-12-31,SON I konkurs II,Popularyzacja
42,SONP/SN/515135/2021,Fundacja Our Future Foundation,Łączenie polskiej diaspory akademickiej z polską nauką i gospodarką,1000000,2021-12-31,SON I konkurs II,Popularyzacja
43,SONP/SN/514589/2021,Fundacja Polskiej Akademii Nauk,Lubelski Podcast Naukowy,369960,2021-12-31,SON I konkurs II,Popularyzacja
44,SONP/SN/511942/2021,Fundacja Rozwoju Uniwersytetu Kardynała Stefana Wyszyńskiego w Warszawie,Popularyzacja filozofii i jej znaczenia dla społeczeństwa,75100,2021-12-31,SON I konkurs II,Popularyzacja
