Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1.,SONB/SP/548765/2022,Akademia GórniczoHutnicza im. Stanisława Staszica w Krakowie,Digitalizacja dorobku naukowobadawczego Profesorów AG w Krakowie w l. 1919-1945,57735.7,2022-09-26,SON I konkurs III,Biblioteki
2.,SONB/SP/550056/2022,Akademia Morska w Szczecinie,Digitalizacja,131812,2022-09-26,SON I konkurs III,Biblioteki
3.,SONB/SP/549669/2022,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,Cyfrowa restauracja unikatowych zasobów Biblioteki Akademii Teatralnej,223300,2022-09-26,SON I konkurs III,Biblioteki
4.,SONB/SP/548229/2022,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Opracowanie i udostępnianie zasobów bibliotecznych w postaci elektronicznej  - kontynuacja prac,154363,2022-09-26,SON I konkurs III,Biblioteki
5.,SONB/SN/548184/2022,Diecezja Sandomierska,"Konserwacja, opracowanie, digitalizacja 60 starych druków z Biblioteki Kapituły w Sandomierzu",241500,2022-09-26,SON I konkurs III,Biblioteki
6.,SONB/SN/550218/2022,Diecezja Sandomierska,"Zapewnienie dostępu do zbioru starych druków: dezynfekcja, dezynsekcja, opracowanie - kontyunacja",175000,2022-09-26,SON I konkurs III,Biblioteki
7.,SONB/SP/549053/2022,Książnica Pomorska im. Stanisława Staszica,Dziedzictwo akademickie Pomorza Zachodniego XVII–XIX w.,32000,2022-09-26,SON I konkurs III,Biblioteki
8.,SONB/SP/550070/2022,Politechnika Gdańska,"Nauka wg Eulera, Bernoulli’iego i Hell’a - konserwacja i digitalizacja wybranych zbiorów BPG.",156851.2,2022-09-26,SON I konkurs III,Biblioteki
9.,SONB/SP/547882/2022,Politechnika Krakowska im. Tadeusza Kościuszki,Udostępnienie Kolekcji Cracoviana ze zbiorów Biblioteki Politechniki Krakowskiej,247760,2022-09-26,SON I konkurs III,Biblioteki
10.,SONB/SP/548651/2022,Politechnika Lubelska,Digitalizacja czasopisma „Technika Lotnicza i Astronautyczna”,136189.55,2022-09-26,SON I konkurs III,Biblioteki
11.,SONB/SP/547480/2022,Politechnika Wrocławska,Zwiększenie dostępności zbiorów Politechniki Wrocławskiej w Dolnośląskiej Bibliotece Cyfrowej,154242,2022-09-26,SON I konkurs III,Biblioteki
12.,SONB/SP/547482/2022,Politechnika Wrocławska,"Digitalizacja dorobku naukowego PWr: pomiarów, czasopism oraz rozpraw doktorskich",146586,2022-09-26,SON I konkurs III,Biblioteki
13.,SONB/SN/546522/2022,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja kolekcji rękopisów księdza Wincentego Kraińskiego - kontynuacja,154737.22,2022-09-26,SON I konkurs III,Biblioteki
14.,SONB/SN/549112/2022,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja elseviranów i innych cennych starych druków,244590,2022-09-26,SON I konkurs III,Biblioteki
15.,SONB/SP/547735/2022,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,Digitalizacja rozpraw doktorskich Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie,124588.2,2022-09-26,SON I konkurs III,Biblioteki
16.,SONB/SP/550262/2022,Uniwersytet Ekonomiczny w Poznaniu,Retrokonwersja alfabetycznego katalogu kartkowego Biblioteki Gł. UEP dla książek wydanych do 1950r.,69775.2,2022-09-26,SON I konkurs III,Biblioteki
17.,SONB/SP/550684/2022,Uniwersytet Ekonomiczny w Poznaniu,Digitalizacja i udostępnianie online „Bibliografii gosp. Wielkop. 191939” H. Maciejewskiej,77798.75,2022-09-26,SON I konkurs III,Biblioteki
18.,SONB/SP/546390/2022,Uniwersytet Ekonomiczny we Wrocławiu,Upowszechnienie zawartości czasopisma Prace Naukowe Uniwersytetu Ekonomicznego we Wrocławiu,90574,2022-09-26,SON I konkurs III,Biblioteki
19.,SONB/SP/550342/2022,Uniwersytet Gdański,Unikatowe kolekcje pomorskokaszubskie w spuściźnie prof. Andrzeja Bukowskiego w zbiorach BUG,32329,2022-09-26,SON I konkurs III,Biblioteki
20.,SONB/SP/548060/2022,Uniwersytet im. Adama Mickiewicza w Poznaniu,Digitalizacja i udostępnienie online kolekcji inkunabułów Biblioteki Uniwersyteckiej w Poznaniu,223044.8,2022-09-26,SON I konkurs III,Biblioteki
21.,SONB/SP/548702/2022,Uniwersytet Jagielloński,Konserwacja i oprawa książek oraz broszur medycznych z kolekcji XIX i początku XX wieku- cz.2,220857.63,2022-09-26,SON I konkurs III,Biblioteki
22.,SONB/SP/548996/2022,Uniwersytet Jagielloński,Zabezpieczenie zbiorów bibliotecznych Uniwersytetu Jagiellońskiego z zakresu nauk przyrodniczych,197136.58,2022-09-26,SON I konkurs III,Biblioteki
23.,SONB/SP/547212/2022,Uniwersytet Jana Kochanowskiego w Kielcach,Digitalizacja i udostępnienie online polskich wydawnictw  drugiego obiegu z lat 1976-1989,102058,2022-09-26,SON I konkurs III,Biblioteki
24.,SONB/SP/547213/2022,Uniwersytet Jana Kochanowskiego w Kielcach,Rozbudowa bazy komputerowego katalogu zasobów Biblioteki UJK – książki z lat 1950-2000,147600,2022-09-26,SON I konkurs III,Biblioteki
25.,SONB/SP/548064/2022,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,"Dezynfekcja, digitalizacja i upowszechnienie części kolekcji z Biblioteki UKSW - kontynuacja.",118143.3,2022-09-26,SON I konkurs III,Biblioteki
26.,SONB/SP/550217/2022,Uniwersytet Kazimierza Wielkiego,Retrokonwersja zbiorów Biblioteki Uniwersytetu Kazimierza Wielkiego w Bydgoszczy - kontynuacja,119847,2022-09-26,SON I konkurs III,Biblioteki
27.,SONB/SP/547361/2022,Uniwersytet Łódzki,"Druki ulotne z wyborów do rad narodowych. Konserwacja, opracowanie i digitalizacja kolekcji",47637.7,2022-09-26,SON I konkurs III,Biblioteki
28.,SONB/SP/548999/2022,Uniwersytet Łódzki,Digitalizacja i udostępnienie unikatowej bazy mikrotoponimów,190520,2022-09-26,SON I konkurs III,Biblioteki
29.,SONB/SP/546729/2022,Uniwersytet Mikołaja Kopernika w Toruniu,„De revolutionibus” M. Kopernika (1543) w bibliotekach polskich. Wystawa i udostępnienie cyfrowe,119295,2022-09-26,SON I konkurs III,Biblioteki
30.,SONB/SP/549366/2022,Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,Dziedzictwo kulturowe XIX i XX. Digitalizacja i rozpowszechnienie w bibliotece cyfrowej III,29107.1,2022-09-26,SON I konkurs III,Biblioteki
31.,SONB/SP/546672/2022,Uniwersytet Szczeciński,Organizacja gabinetu kartografii Biblioteki Głównej Uniwersytetu Szczecińskiego,132924,2022-09-26,SON I konkurs III,Biblioteki
32.,SONB/SP/548472/2022,Uniwersytet w Białymstoku,Cyfrowe kolekcje Biblioteki Uniwersyteckiej - zbiory kartograficzne,31982,2022-09-26,SON I konkurs III,Biblioteki
33.,SONB/SP/546450/2022,Uniwersytet Warszawski,Retrokonwersja opisów i udostępnienie w bibliotece cyfrowej rękopisów BUW,178530,2022-09-26,SON I konkurs III,Biblioteki
34.,SONB/SP/549241/2022,Uniwersytet Warszawski,Retrokonwersja zasobów bibliotecznych Uniwersytetu Warszawskiego,248899.2,2022-09-26,SON I konkurs III,Biblioteki
35.,SONB/SP/548654/2022,Uniwersytet Wrocławski,Silesiaca i lusatica - upowszechnienie unikatowych czasopism Biblioteki Uniwersyteckiej we Wrocławiu,57440,2022-09-26,SON I konkurs III,Biblioteki
36.,SONB/SP/549587/2022,Uniwersytet Wrocławski,Kolekcja księgozbioru rodu Potockich z Krzeszowic. Rozbudowa katalogu komputerowego BUWr.,100890,2022-09-26,SON I konkurs III,Biblioteki
