Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1.,SONP/SP/548371/2022,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,„Przystanek - popularyzacja nauki”,273565,2022-09-26,SON I konkurs III,Popularyzacja
2.,SONP/SP/550708/2022,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,Bialski Festiwal Nauki,100000,2022-09-26,SON I konkurs III,Popularyzacja
3.,SONP/SP/548005/2022,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Między nauką a codziennością - promieniotwórczość- mam wiedzę nie mam strachu,303350,2022-09-26,SON I konkurs III,Popularyzacja
4.,SONP/SP/548044/2022,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Inżynieria metali - warto! Popularyzacja studiów technicznych wśród uczniów szkół średnich,398090,2022-09-26,SON I konkurs III,Popularyzacja
5.,SONP/SP/548668/2022,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Laboratorium Społeczno-Technologiczne (SoTechLab). Społeczny wymiar technologii,124288.95,2022-09-26,SON I konkurs III,Popularyzacja
6.,SONP/SN/547531/2022,Akademia Ignatianum w Krakowie,"Logika codzienna – vlog o argumentacji, kulturze logicznej i retoryce",84146,2022-09-26,SON I konkurs III,Popularyzacja
7.,SONP/SN/548433/2022,Akademia Ignatianum w Krakowie,Popularyzacja i promocja chrześcijańskiego kapitału etycznego,112849.36,2022-09-26,SON I konkurs III,Popularyzacja
8.,SONP/SP/548794/2022,Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego,Nauka bliżej Ciebie,254653.19,2022-09-26,SON I konkurs III,Popularyzacja
9.,SONP/SP/550254/2022,Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego,Festiwal Sportu Akademii Kaliskiej,26025,2022-09-26,SON I konkurs III,Popularyzacja
10.,SONP/SP/551165/2022,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,Sport dla wszystkich,244200,2022-09-26,SON I konkurs III,Popularyzacja
11.,SONP/SP/549110/2022,Akademia TechnicznoHumanistyczna,XXIII Beskidzki Festiwal Nauki i Sztuki,150400,2022-09-26,SON I konkurs III,Popularyzacja
12.,SONP/SP/550839/2022,Akademia TechnicznoHumanistyczna,Science Point ATH 2.0- Minicentrum Nauki w Bielsku-Białej,288062,2022-09-26,SON I konkurs III,Popularyzacja
13.,SONP/SN/549068/2022,Akademia WSB,Festiwal Nauki 2023 Akademii WSB,100000,2022-09-26,SON I konkurs III,Popularyzacja
14.,SONP/SN/549677/2022,Akademia WSB,Świat Oczami naukowców Akademii WSB edycja II,218924,2022-09-26,SON I konkurs III,Popularyzacja
15.,SONP/SN/549920/2022,Akademia WSB,Sportowa Akademia WSB,194618,2022-09-26,SON I konkurs III,Popularyzacja
16.,SONP/SN/550546/2022,Akademia WSB,Międzypokoleniowa Akademia Dialogu,147191,2022-09-26,SON I konkurs III,Popularyzacja
17.,SONP/SP/551046/2022,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,AWFiS,221090,2022-09-26,SON I konkurs III,Popularyzacja
18.,SONP/SP/549948/2022,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,Gorzowski Festiwal Nauki z AWF,25209,2022-09-26,SON I konkurs III,Popularyzacja
19.,SONP/SP/551038/2022,Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie,Sportowi giganci AWF Warszawa,300000,2022-09-26,SON I konkurs III,Popularyzacja
20.,SONP/SN/550861/2022,Akademicki Związek Sportowy,"TRADYCJA, TOŻSAMOŚĆ NARODOWA I PATRIOTYZM W SPORCIE AKADEMICKIM",490000,2022-09-26,SON I konkurs III,Popularyzacja
21.,SONP/SN/551161/2022,Akademicki Związek Sportowy,AKADEMICKA REPREZENTACJA POLSKI - udział Uniwersjadach i Akademickich Mistrzostwach Świata,500000,2022-09-26,SON I konkurs III,Popularyzacja
22.,SONP/SN/550823/2022,Akademicki Związek Sportowy Kraków,Akademickie Mistrzostwa Małopolski - promocja sportu akademickiego.,259678,2022-09-26,SON I konkurs III,Popularyzacja
23.,SONP/SN/551192/2022,Akademicki Związek Sportowy Kraków,Młodzi na wodzie,169950,2022-09-26,SON I konkurs III,Popularyzacja
24.,SONP/SP/549749/2022,Centrum Nauki Experyment w Gdyni,Nieformalne spotkania z naukowcami i innowatorami - cykl 24 wydarzeń SCIENCE CAFE (2022-2024),248520,2022-09-26,SON I konkurs III,Popularyzacja
