Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,BIBL/SN/0064/2024/02,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Digitalizacja i udostępnienie XV wiecznych Biblii ze zbiorów Biblioteki Uniwersyteckiej KUL,70246,2024-11-04,SON II,Biblioteki
2,BIBL/SN/0065/2024/02,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Zagraniczne schematyzmy i rubrycele zakonne w zbiorach Biblioteki Uniwersyteckiej KUL- digitalizacja,194700,2024-11-04,SON II,Biblioteki
3,BIBL/SN/0066/2024/02,Uniwersytet Ignatianum w Krakowie,Elektroniczna bibliografia jezuicka,171600,2024-11-04,SON II,Biblioteki
4,BIBL/SN/0067/2024/02,Uniwersytet Ignatianum w Krakowie,Opracowanie zagranicznych książek humanistycznych z XIX i XX w.,132000,2024-11-04,SON II,Biblioteki
5,BIBL/SN/0071/2024/02,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja księgozbiorów ks. A. Prusinowskiego i S. Mielżyńskiego z kolekcji Biblioteki PTPN,238750,2024-11-04,SON II,Biblioteki
6,BIBL/SN/0079/2024/02,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja historycznego księgozbioru Seweryna Mielżyńskiego z kolekcji Biblioteki PTPN,239460,2024-11-04,SON II,Biblioteki
7,BIBL/SN/0081/2024/02,Związek Kompozytorów Polskich,Budowa internetowej bazy danych dorobku polskich muzykologów i teoretyków muzyki,64680,2024-11-04,SON II,Biblioteki
8,BIBL/SN/0100/2024/02,Diecezja Sandomierska,"Zapewnienie dostępu do zbioru starych druków: dezynfekcja, dezynsekcja, opracowanie - kontynuacja",161450,2024-11-04,SON II,Biblioteki
9,BIBL/SN/0101/2024/02,Diecezja Sandomierska,"Konserwacja, digitalizacja i opracowanie 60 starych druków z Biblioteki Kapituły w Sandomierzu",240390,2024-11-04,SON II,Biblioteki
10,BIBL/SN/0102/2024/02,Diecezja Sandomierska,"Prace ratownicze, digitalizacja i udostępnienie źródeł rękopiśmiennych do dziejów Sandomierszczyzny",228000,2024-11-04,SON II,Biblioteki
11,BIBL/SP/0002/2024/02,Akademia Górniczo- Hutnicza im. Stanisława Staszica w Krakowie,Polskie Normy wydane w latach 1924-1945. Digitalizacja i rozpowszechnienie,107674.6,2024-11-04,SON II,Biblioteki
12,BIBL/SP/0003/2024/02,Akademia Górniczo- Hutnicza im. Stanisława Staszica w Krakowie,Digitalizacja dorobku naukowo-badawczego Profesorów AG w Krakowie w latach 19191945. Część 2,56273.69,2024-11-04,SON II,Biblioteki
13,BIBL/SP/0007/2024/02,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Kontynuacja prac nad deponowaniem w Repozytorium najstarszych zbiorów Biblioteki AWF w Krakowie,65379,2024-11-04,SON II,Biblioteki
14,BIBL/SP/0009/2024/02,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",Digitalizacja Dzieł Janusza Majewskiego,31910,2024-11-04,SON II,Biblioteki
15,BIBL/SP/0016/2024/02,Politechnika Morska w Szczecinie,Digitalizacja unikatowych zasobów Biblioteki Głównej Politechniki Morskiej w Szczecinie,101235.27,2024-11-04,SON II,Biblioteki
16,BIBL/SP/0017/2024/02,Politechnika Warszawska,Opracowanie i digitalizacja rozpraw doktorskich Politechniki Warszawskiej za lata 50. i 60. XX,247606,2024-11-04,SON II,Biblioteki
17,BIBL/SP/0018/2024/02,Politechnika Warszawska,Opracowanie i digitalizacja kolekcji fotografii konkursowych SARP z drugiej połowy XX wieku,238685,2024-11-04,SON II,Biblioteki
18,BIBL/SP/0020/2024/02,Politechnika Wrocławska,Digitalizacja oraz opracowanie i udostępnienie wybranych rozpraw doktorskich PWr,209880,2024-11-04,SON II,Biblioteki
19,BIBL/SP/0021/2024/02,Politechnika Poznańska,Ochrona i upowszechnianie najstarszych rozpraw doktorskich Politechniki Poznańskiej,222684,2024-11-04,SON II,Biblioteki
20,BIBL/SP/0024/2024/02,Uniwersytet Ekonomiczny w Poznaniu,"Konserwacja, digitalizacja i upowszechnienie czasopism z lat 1852-1917 ze zbiorów BG UEP",221697,2024-11-04,SON II,Biblioteki
21,BIBL/SP/0025/2024/02,Uniwersytet Ekonomiczny we Wrocławiu,Nauka dla Społeczeństwa: Prace Naukowe AEW w otwartym dostępie (2005- 2008),94600,2024-11-04,SON II,Biblioteki
22,BIBL/SP/0026/2024/02,Uniwersytet Ekonomiczny we Wrocławiu,Bezpieczne i Dostępne: Digitalizacja i Promocja Doktoratów UEW z Jeleniej Góry 1993-2012,137317.4,2024-11-04,SON II,Biblioteki
23,BIBL/SP/0027/2024/02,Uniwersytet Jagielloński w Krakowie,Opracowanie historycznego księgozbioru UJ z zakresu nauk przyrodniczych. Kontynuacja,248984.3,2024-11-04,SON II,Biblioteki
