Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,POPUL/SN/0196/2024/02,Wyższa Szkoła Prawa we Wrocławiu,"""Procesy Tumskie"" - edycja II",58630,2024-11-04,SON II,Popularyzacja
2,POPUL/SN/0202/2024/02,Uczelnia Techniczno- Handlowa im. Heleny Chodkowskiej,Warszawski Festiwal Nauk Inżynieryjnych z UTH - edycja 2025 i 2026,152895.6,2024-11-04,SON II,Popularyzacja
3,POPUL/SN/0203/2024/02,Tarnowska Szkoła Wyższa Akademia Nauk Stosowanych,IV Tarnowski Festiwal Nauki,79500,2024-11-04,SON II,Popularyzacja
4,POPUL/SN/0219/2024/02,Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach,Festiwal Nauka dla bezpieczeństwa,163460,2024-11-04,SON II,Popularyzacja
5,POPUL/SN/0228/2024/02,Fundacja Uniwersytet Dzieci (FUD),Uniwersytet Dzieci w Klasie - edukacja artystyczna,101722,2024-11-04,SON II,Popularyzacja
6,POPUL/SN/0229/2024/02,Fundacja Centrum Kopernika,To skomplikowane!,541500,2024-11-04,SON II,Popularyzacja
7,POPUL/SN/0231/2024/02,Uniwersytet Ignatianum w Krakowie,Spory moralne XXI wieku,119183.19,2024-11-04,SON II,Popularyzacja
8,POPUL/SN/0232/2024/02,Fundacja GPW,Szkolna Internetowa Gra Giełdowa_23,160689.4,2024-11-04,SON II,Popularyzacja
9,POPUL/SN/0238/2024/02,Fundacja Slawistyczna,Bukowiński Festiwal Nauki IX - X,96420.95,2024-11-04,SON II,Popularyzacja
10,POPUL/SN/0248/2024/02,Fundacja Uniwersytet Dzieci,Uniwersytet Dzieci w Klasie- edukacja o zdrowiu i kulturze fizycznej,98504,2024-11-04,SON II,Popularyzacja
11,POPUL/SN/0257/2024/02,Uniwersytet Ignatianum w Krakowie,Logika codzienna 2.0 – vlog o kulturze logicznej i argumentacji,88000,2024-11-04,SON II,Popularyzacja
12,POPUL/SN/0289/2024/02,Instytut Badawczy Leśnictwa,Dzień dziecka - razem w lesie,150205,2024-11-04,SON II,Popularyzacja
13,POPUL/SN/0316/2024/02,Uniwersytet Papieski Jana Pawła II w Krakowie,Polskie kolędy i pastorałki w nowych opracowaniach na zespół instrumentów dętych blaszanych,185900,2024-11-04,SON II,Popularyzacja
14,POPUL/SN/0317/2024/02,Uniwersytet Papieski Jana Pawła II w Krakowie,Ze skarbca nauki. Popularyzacja kolekcji zbiorów specjalnych,178500,2024-11-04,SON II,Popularyzacja
15,POPUL/SN/0319/2024/02,Sieć Badawcza Łukasiewicz - Poznański Instytut Technologiczny,Technologie przyszłości – Wykorzystanie nauki w transformacji cyfrowej,465300,2024-11-04,SON II,Popularyzacja
16,POPUL/SN/0329/2024/02,Fundacja Eureka im. prof. Jerzego Stelmacha,Postęp naukowo-techniczny bliżej społeczeństwa,158400,2024-11-04,SON II,Popularyzacja
17,POPUL/SN/0339/2024/02,Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy,Zielona Akademia Herboludka - popularyzacja nauk przyrodniczych w klasach 1-3,49989,2024-11-04,SON II,Popularyzacja
18,POPUL/SN/0340/2024/02,Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera,Zrozumieć ryzyko – współczesne zagrożenia zdrowotne w miejscu pracy i środowisku,238700,2024-11-04,SON II,Popularyzacja
19,POPUL/SN/0389/2024/02,"Ośrodek ""Pamięć i Przyszłość""",Cykl debat: Między miastem a regionem - edycja 2025,57500,2024-11-04,SON II,Popularyzacja
20,POPUL/SN/0395/2024/02,Uniwersytet Dolnośląski DSW we Wrocławiu,"Education & Migration in Central Europe (EMCE) seminar series: ""More light on...""",288622.9,2024-11-04,SON II,Popularyzacja
21,POPUL/SN/0411/2024/02,Fundacja Adeptów i Miłośników Ekonomii,GRAPE | Tłoczone z danych,146766.88,2024-11-04,SON II,Popularyzacja
22,POPUL/SN/0415/2024/02,Stowarzyszenie Sportowe Klub Sportowy AGH Kraków,Liga Międzywydziałowa,440480,2024-11-04,SON II,Popularyzacja
23,POPUL/SN/0422/2024/02,Polskie Towarzystwo Ludoznawcze - Zarząd Główny,"Portal ""Biblioteka Cyfrowa PTL"" jako narzędzie popularyzacji wiedzy etnologicznej i antropologicznej",78781,2024-11-04,SON II,Popularyzacja
24,POPUL/SN/0436/2024/02,Polskie Towarzystwo Materiałoznawcze,Ogólnopolski Dzień Inżynierii Materiałowej - Przyszłość To Materiały,405000,2024-11-04,SON II,Popularyzacja
25,POPUL/SN/0449/2024/02,Polski Instytut Studiów nad Sztuką Świata,Strona internetowa wraz z repozytorium cyfrowym Polskiego Instytutu Studiów nad Sztuką Świata,45000,2024-11-04,SON II,Popularyzacja
26,POPUL/SN/0454/2024/02,Polskie Towarzystwo Geograficzne,Sztuka czytania krajobrazu,125344.35,2024-11-04,SON II,Popularyzacja
27,POPUL/SN/0460/2024/02,Fundacja Rozwoju Uniwersytetu Gdańskiego,Nauka dla Bałtyku - wydarzenia upowszechniające wiedzę z zakresu ekologii morza i ochrony Bałtyku,157300,2024-11-04,SON II,Popularyzacja
28,POPUL/SN/0472/2024/02,Polskie Towarzystwo Zespołu Aspergera,Niepełnosprawność - to warto wiedzieć,62700,2024-11-04,SON II,Popularyzacja
29,POPUL/SN/0473/2024/02,Fundacja Instytut im. Wacława Felczaka,"Popularyzatorskie sympozja naukowo - praktyczne ""Polityki publiczne w praktyce""",288000,2024-11-04,SON II,Popularyzacja
30,POPUL/SN/0474/2024/02,Polskie Towarzystwo Geopolityczne,Opowieści o geoekonomii,86460,2024-11-04,SON II,Popularyzacja
31,POPUL/SN/0486/2024/02,Towarzystwo Edukacji Obywatelskiej,Nowe oblicza zaangażowania: wirtualne wystawy o partycypacji społecznej,90000,2024-11-04,SON II,Popularyzacja
32,POPUL/SN/0530/2024/02,Wyższa Szkoła Gospodarki w Bydgoszczy,Debaty Jadwiżańskie III,75260,2024-11-04,SON II,Popularyzacja
33,POPUL/SN/0531/2024/02,Krakowski Instytut Prawa Karnego Fundacja,Karne24.com - prowadzenie i rozwój portalu,217500,2024-11-04,SON II,Popularyzacja
34,POPUL/SN/0534/2024/02,Fundacja Odważne w Nauce,Naukowczynie w szkole,89500,2024-11-04,SON II,Popularyzacja
35,POPUL/SN/0549/2024/02,Fundacja Myślowisko,Ludowa Akademia Filozoficzna Filo-Zośka,77720,2024-11-04,SON II,Popularyzacja
36,POPUL/SN/0557/2024/02,Stowarzyszenie Naukowe Przestrzeń Społeczna i Środowisko,Polska pedagogika przedszkolna i wczesnoszkolna i jej twórcy- wystawa interaktywna,95150,2024-11-04,SON II,Popularyzacja
37,POPUL/SN/0558/2024/02,"Stowarzyszenie ""Nauka z Kulturą""",Kaliski Festiwal Nauki,165700,2024-11-04,SON II,Popularyzacja
38,POPUL/SN/0562/2024/02,"Fundacja ""FIDUCIA""",Nowe horyzonty interdyscyplinarności w rozwoju kształcenia,531861,2024-11-04,SON II,Popularyzacja
39,POPUL/SN/0564/2024/02,Towarzystwo Wolnej Wszechnicy Polskiej Oddział w Lublinie,Popularyzacja wiedzy z zakresu nauk o kulturze i religii na Lubelskim Uniwersytecie Trzeciego Wieku,64600,2024-11-04,SON II,Popularyzacja
